0	0.000011	0.000003
1820	0.030711	0.841269
3640	0.047754	3.415488
5461	0.066874	7.779794
7281	0.080572	13.488646
9102	0.099293	20.953888
10922	0.113308	30.182268
12743	0.131781	41.237307
14563	0.151749	54.819268
16384	0.175028	70.856640
0	0.000013	0.000004
1820	0.032276	0.865416
3640	0.050207	3.465472
5461	0.066877	7.793054
7281	0.081639	13.679812
9102	0.099694	21.501309
10922	0.113687	31.325129
12743	0.210303	42.119087
14563	0.150209	54.962255
16384	0.165870	68.787016
0	0.000012	0.000003
1820	0.030252	0.875455
3640	0.052148	3.484521
5461	0.069133	8.300166
7281	0.128888	15.603379
9102	0.100761	21.293227
10922	0.113795	33.142804
12743	0.240234	44.106637
14563	0.152486	55.744973
16384	0.162303	70.829189
0	0.000013	0.000004
1820	0.030500	0.851618
3640	0.050733	3.462117
5461	0.063077	7.762137
7281	0.080129	13.947366
9102	0.103971	21.916329
10922	0.116360	31.290553
12743	0.132073	41.800659
14563	0.150437	55.569717
16384	0.168441	70.319033
0	0.000014	0.000004
1820	0.031582	0.859269
3640	0.048865	3.458117
5461	0.063600	8.069656
7281	0.083033	14.080287
9102	0.101264	21.551066
10922	0.123730	31.183910
12743	0.144714	44.776825
14563	0.202707	59.350179
16384	0.177030	70.543760
0	0.000014	0.000004
1820	0.030450	0.842813
3640	0.047939	3.368494
5461	0.064286	7.587242
7281	0.081009	14.048483
9102	0.100102	21.505135
10922	0.113912	31.220532
12743	0.132653	41.167577
14563	0.150296	54.453174
16384	0.161844	69.101644
0	0.000016	0.000004
1820	0.045015	1.082912
3640	0.079187	4.260190
5461	0.081553	8.679255
7281	0.084439	14.637023
9102	0.150506	21.866705
10922	0.119734	30.477165
12743	0.132303	41.206977
14563	0.152017	55.518843
16384	0.162687	71.022694
0	0.000012	0.000003
1820	0.032172	0.876144
3640	0.050511	3.455440
5461	0.062927	8.280148
7281	0.085227	14.361029
9102	0.114414	23.283304
10922	0.127863	31.539080
12743	0.132075	43.367390
14563	0.156257	56.111545
16384	0.163818	70.154507
0	0.000029	0.000004
1820	0.036849	0.859218
3640	0.048039	3.500770
